Date,close,high,low,open,volume
2014-01-02,149.42630004882812,150.36573594875676,149.06686457162533,150.29220599037075,119636900
2014-01-03,149.40182495117188,149.98182549320995,149.18943688223317,149.6795660716656,81390600
2014-01-06,148.9687957763672,149.94906611918714,148.740066445203,149.89189001880294,108028200
2014-01-07,149.88372802734375,150.13696320743608,149.4507751456088,149.56513982258,86144200
2014-01-08,149.91641235351562,150.16964753627929,149.4017650693088,149.85922378201928,96582300
2014-01-09,150.0144500732422,150.41473271773242,149.32826193824428,150.3983913436183,90683400
2014-01-10,150.42288208007812,150.48823510516132,149.49978773989875,150.26767020360745,102026400
2014-01-13,148.42147827148438,150.45553642824333,148.1355603751236,150.03892496037054,149892000
2014-01-14,150.0389862060547,150.1206806283092,148.63392690404447,148.91166799599984,105016100
2014-01-15,150.8477020263672,151.07643142953782,150.0716549466941,150.39024322002592,98525800
2014-01-16,150.651611328125,150.84767040323487,150.1696467913968,150.53724665051465,72290600
2014-01-17,150.0144500732422,150.67613237947705,149.75305041149758,150.39022688896938,107848700
2014-01-21,150.45555114746094,150.93752814546258,149.5324692795371,150.88033957467013,88621200
2014-01-22,150.55361938476562,150.77418433210818,150.23503111185642,150.70883129345788,61270900
2014-01-23,149.3201141357422,149.81842019245278,148.52773807653224,149.79391435891117,132496900
2014-01-24,146.13421630859375,148.39701693975616,146.0852046464805,148.34800527764287,208677100
2014-01-27,145.41529846191406,146.64881639643843,144.68826329046092,146.27303966672838,180843100
2014-01-28,146.28125,146.4691321753671,145.50519054014765,145.52153191425407,110463200
2014-01-29,144.8761444091797,145.85641463856234,144.49220326240953,145.0640265241484,216597300
2014-01-30,146.41197204589844,146.8857722685132,145.61958352279672,146.08521928918003,118938100
2014-01-31,145.55419921875,146.46095225844752,144.52491703780254,144.5984345225525,194677900
2014-02-03,142.2784881591797,145.70944195346877,142.0007470703395,145.3826891977531,254837100
2014-02-04,143.27505493164062,143.64265478170526,142.22943148643628,142.91561953519886,165012400
2014-02-05,143.0953826904297,143.41397099033338,141.9027239122543,142.776794390526,164230500
2014-02-06,144.9823760986328,144.9823760986328,143.13619973251465,143.4302821369669,132877600
2014-02-07,146.7795867919922,146.93479872974757,145.18664512917113,145.6604453994907,170787200
2014-02-10,147.04913330078125,147.09815742750965,146.39562785554446,146.7958980710294,92218800
2014-02-11,148.65841674804688,149.03419359925283,147.07363985939045,147.1716756485149,117814100
2014-02-12,148.73193359375,149.3527687009901,148.4378511819381,148.8789685672478,94717700
2014-02-13,149.4998016357422,149.65501352663966,147.71897827975604,147.7271427343447,100542200
2014-02-14,150.3248291015625,150.60257005473025,149.22201727629712,149.360887752881,96498400
2014-02-18,150.504638671875,150.7088622853473,150.02266147081707,150.45561453419273,80460900
2014-02-19,149.50796508789062,151.0845647537994,149.38542349120212,150.1124587582198,126524300
2014-02-20,150.3901824951172,150.73327646133782,149.16484155940947,149.71215901491473,104998100
2014-02-21,150.21868896484375,151.0355832465526,150.14517147104615,150.6761477682299,118116400
2014-02-24,151.05194091796875,152.06488195908156,150.47194043086475,150.5372934762299,114063900
2014-02-25,150.99468994140625,151.60736046564193,150.49638408310201,151.1744076257005,117085000
2014-02-26,151.00289916992188,151.6155698252532,150.57811069207688,151.21528717643616,98677200
2014-02-27,151.7952880859375,151.83612282458452,150.61078150957945,150.7823347781994,93880800
2014-02-28,152.17921447753906,152.88174398556524,151.16627365072196,151.7707673790312,150842000
2014-03-03,151.10910034179688,151.4930416503728,150.10432386809404,150.83952373376587,167748500
2014-03-04,153.2329864501953,153.5597390822555,152.55496289709723,152.58763317437766,167545900
2014-03-05,153.37193298339844,153.63334519050508,153.12686215544096,153.36376852623388,88376900
2014-03-06,153.72320556640625,154.0744766934863,153.39645274268543,153.74772386976548,82516500
2014-03-07,153.78848266601562,154.36031852232188,153.11045905009928,154.36031852232188,114513500
2014-03-10,153.706787109375,153.7639632110489,152.8245400414925,153.55157524583817,74939200
2014-03-11,152.94703674316406,154.15604865296308,152.5957783599843,153.9354838165413,99009100
2014-03-12,152.9879150390625,153.04510360505728,151.86059727346378,152.20370373980467,104824400
2014-03-13,151.27244567871094,153.56792860390073,150.84766971513304,153.4453870082104,155014300
2014-03-14,150.8477020263672,151.77896101493837,150.66798428604488,151.00291393526533,153919600
2014-03-17,152.2119140625,152.57134954331613,151.54205476373943,151.6074078025076,98359500
2014-03-18,153.2983856201172,153.50260919283988,152.35894970670222,152.5223385367345,101804600
2014-03-19,152.4814910888672,153.52711478237373,151.5093848898687,153.3147142895936,176267300
2014-03-20,153.37193298339844,153.48629770780258,151.87701464416,152.1465913084312,117241000
2014-03-21,152.7769775390625,155.09079173183028,152.63749415096203,154.0159395789533,163128000
2014-03-24,152.1452178955078,153.4908491088716,151.48061529660382,153.30212520758536,121411000
2014-03-25,152.86732482910156,153.38424374020042,152.01401049506347,152.91655281685686,103852000
2014-03-26,151.76780700683594,153.71238698833943,151.72677952422336,153.46623461249382,119843000
2014-03-27,151.44776916503906,152.071344154183,150.88982310542497,151.587252549986,142383000
2014-03-28,152.19447326660156,152.95753187483228,151.79242396086366,151.8826794164444,101642000
2014-03-31,153.4415740966797,153.67952591177732,152.21903811642852,153.16260733123693,99745000
2014-04-01,154.45904541015625,154.54930086444278,153.43342093864126,153.9421266701671,89193000
2014-04-02,154.97596740722656,155.18109230584062,154.3687932001901,154.65597306618187,78774000
2014-04-03,154.77081298828125,155.25490465191754,154.29492181188652,155.2138771760541,77435000
2014-04-04,152.94110107421875,155.6487519154758,152.69496124123708,155.61593744435447,169381000
2014-04-07,151.25088500976562,152.82624265346337,150.93910369225532,152.57188979450905,140803000
2014-04-08,151.87449645996094,152.1206363492043,150.63553392488856,151.18526721058473,112660000
2014-04-09,153.5072479248047,153.55647589146358,151.84163494709216,152.2847116866797,100254000
2014-04-10,150.28269958496094,153.5728982514771,150.0939756754367,153.49905629722647,172959000
2014-04-11,148.92889404296875,150.4960514537154,148.7647966091354,149.44581285338393,167251000
2014-04-14,150.1022186279297,150.45502749295196,148.87146906557516,150.09400561815485,132382000
2014-04-15,151.13600158691406,151.24267052557087,148.9288559843687,150.41397055859517,157093000
